Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 12
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 14
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 6
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 8
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 8
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 6
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 10
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 6
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 12
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 10
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 10
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 12
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 8
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 16
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 12
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 10
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 8
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 18
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 10
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 12
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 10
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 16
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 8
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 8
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 6
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 10
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 14
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 14
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 12
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 8
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 6
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 8
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 12
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 10
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 8
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 14
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 10
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 10
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 8
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 8
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 6
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 14
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 12
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 4
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 6
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 4
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 10
Real: -1, Net: -1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 0
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: -1, Success 0, Qual: 2
Real: -1, Net: -1, Success 1, Qual: 2
Real: -1, Net: 1, Success 0, Qual: 2
Real: 1, Net: 1, Success 1, Qual: 0
Real: 1, Net: 1, Success 1, Qual: 0
Real: -1, Net: -1, Success 1, Qual: 0
